Nama CCTV,Jalan,Kelurahan,Kecamatan,Dinas,Hari,Jam,Jam Obervasi,Anomali,Anomali Kategori,KodeSurveyor,File Video CCTV
TAMAN TEGALEGA_12,Jl. Otto Iskandar Dinata,Karanganyar,Astanaanyar,DPKP3,Selasa,14:00,14.26-14.40,cctv menghitam diakhir,Tidak Berfungsi,140810230017,https://drive.google.com/file/d/1FCwATutIQgfSbg40exUXrPsx1W9vPiIh/view?usp=sharing
CCTV SUKAJADI SUKAGALIH 02,Jl. Sukajadi,Sukabungah,Sukajadi,DISKOMINFO,Selasa,14:00,14.43-14.53,-,Tidak Beranomali,140810230017,https://drive.google.com/file/d/15Vr9eRcrey66a6Z1gJcGNZac-UDRfywc/view?usp=sharing
CCTV BRAGA 03,Jl. Braga,Braga,Sumur Bandung,DISKOMINFO,Selasa,14:00,14.43-14.53,-,Tidak Beranomali,140810230017,https://drive.google.com/file/d/1JQycqpbuZ6kMpdvhaFWmkvu0J5qGQNBm/view?usp=sharing
CCTV JL CIGADUNG 01,Jl. Cigadung Raya Barat,Cigadung,Cibeunying Kaler,DISKOMINFO,Selasa,15:00,15.06-15-16,video load tidak bisa di play,Tidak Berfungsi,140810230017,https://drive.google.com/file/d/1KI-PfbSaoXE_LqLNjjigW5AqVQAilQ8K/view?usp=share_link
CCTV KOPO BIZPARK / DPN BRI KOPO 02,Jl. Raya Kopo,Cirangrang,Babakan Ciparay,DISKOMINFO,Selasa,15:00,15:06,sedikit glitch,Visual Kurang Jelas,140810230018,https://drive.google.com/file/d/1XX0J3OOoXV9xyoNzvbZo7T_qI-_lZc0X/view?usp=sharing
CCTV DAGO 3-BORROMEUS 02,Jl. surya kencana,lebak gede,coblong,DISKOMINFO,Selasa,15:00,15:17,kualitas cctv kurang,Visual Kurang Jelas,140810230018,https://drive.google.com/file/d/1R_ZoFzuGk2c38pocSE3S74hFSwLCqlQb/view?usp=sharing
CCTV GERBANG KEBON BINATANG 02,Jl. Kebun Binatang Nomor 6,Lebak Siliwangi,Coblong,DISKOMINFO,Selasa,15:00,15:29,-,Tidak Beranomali,140810230018,https://drive.google.com/file/d/1UtsAtR45YDNN5Gywr3utsz9t9hqNtmMV/view?usp=sharing
CCTV JL RIAU YOGYA JUNCTION,Jl. L. L. R.E. Martadinata,Citarum,Bandung Wetan,DISKOMINFO,Selasa,16:00,16:03,sedikit terhalang objek (lampu),Terhalang Objek,140810230018,https://drive.google.com/file/d/1Dy8gopAOz9yTpqNnLNctCH6_eGptuIAl/view?usp=sharing
CCTV RAJAWALI 01,Jl. Elang,Garuda,Andir,DISKOMINFO,Selasa,16:00,16:14,cctv mati,Tidak Berfungsi,140810230018,https://drive.google.com/file/d/1PbnrGOsCLPmB7RSUKekEHr9Ss3OjoKyw/view?usp=sharing
CCTV KOPO BIZPARK / DPN BRI KOPO 02,Jl. Raya Kopo,Cirangrang,Babakan Ciparay,DISKOMINFO,Selasa,16:00,16:26,-,Tidak Beranomali,140810230018,https://drive.google.com/file/d/1HXJtqYsmUSdbJQ7yxQ8koucf7hphDOg6/view?usp=sharing
CCTV GATOT SUBROTO-BINONG_01,Jl Letnan Jenderal Ibrahim Adjie,Binong,Batununggal,DISKOMINFO,Selasa,16:00,16:36,-,Tidak Beranomali,140810230018,https://drive.google.com/file/d/12fNLjaoy0yaAywjVBrYPqxhzW42Pjk7R/view?usp=sharing
CCTV JL. RUMAH SAKIT-CINAMBO 01,Jl. Rumah Sakit,Sukamulya,Cinambo,DISKOMINFO,Selasa,16:00,16:48,cctv terhalang objek (tiang & kabel listrik),Terhalang Objek,140810230018,https://drive.google.com/file/d/13apI-AL_oL0gjqSRf6d4dH67pczaeTJd/view?usp=sharing
CCTV JL CIGADUNG 01,Jl. Cigadung Raya Barat,Cigadung,Cibeunying Kaler,DISKOMINFO,Selasa,16:00,16:59,cctv mati,Tidak Berfungsi,140810230018,https://drive.google.com/file/d/1x03sMRBJbIbUDc7gfHqNRDoYYZkjdhWr/view?usp=sharing
CCTV CIATEUL 02,Jl. PLN Ciateul,Ciateul,Regol,DISKOMINFO,Selasa,16:00,17:12,"kualitas cctv kurang, glitch",Visual Kurang Jelas,140810230018,https://drive.google.com/file/d/1ueMeDDOhBd6mD8keUtdoAMxWMmmLs5GR/view?usp=sharing
TAMAN RADIO_03,Jl. Ir. H. Juanda,Tamansari,Bandung Wetan,DPKP3,Selasa,16:00,16.42 - 16.52,-,Tidak Beranomali,140810230019,TAMAN RADIO_03.MOV
CCTV SUKAJADI SUKAGALIH 02,Jl. Sukajadi,Sukabungah,Sukajadi,DISKOMINFO,Selasa,16:00,16.50-17.00,"freeze, glitch",Visual Kurang Jelas,140810230019,https://drive.google.com/file/d/1W-GlOnpnHCdjla_jA9qyAJWKcQ2PdALH/view?usp=drivesdk
CCTV CIHAMPELAS_01,Jl. Cihampelas,Taman sari,Bandung Wetan,DISKOMINFO,Selasa,16:00,16.35-16.45,"freeze, glitch, sedikit buram",Visual Kurang Jelas,140810230019,https://drive.google.com/file/d/15zQxNEE3uoY36PAh27sUqYUzjeLe5rOC/view?usp=drivesdk
MPP_2,-,-,,DISHUB,Selasa,17:00,17.40-17.50,CCTV Offline,Offline,140810230019,CCTV MPP_02.mp4
CCTV PHH MUSTOFA-PUSDAI 01,Jl. Untung Surapati,Sukaluyu,Cibeunying Kaler,DISKOMINFO,Selasa,17:00,17.05-17.15,"kualitas kurang baik, glitch",Visual Kurang Jelas,140810230019,https://drive.google.com/file/d/1gosUjG8Z4DCaW8nlJXjD2bxe2z4x_FAp/view?usp=drivesdk
CCTV KATAMSO 02,Jl. Yudawastu Pramuka 2,Cicadas,Cibeunying Kaler,DISKOMINFO,Selasa,17:00,17.20-17.30,"glitch, buffering",Visual Kurang Jelas,140810230019,https://drive.google.com/file/d/183ia3x8MYMkbKwFJB-5r6qhsmoralgKz/view?usp=drivesdk
CCTV ITC KEBON KALAPA 02,Jl. Moch. Toha Jl. Pungkur,Pungkur,Regol,DISKOMINFO,Selasa,18:00,18.01-18.11,"buffering, terhalang pohon, glitch",Visual Kurang Jelas,140810230019,https://drive.google.com/file/d/1vYlQKXXtqzDZaXvSL0s1BcsY65kfQlMa/view?usp=drivesdk
CCTV PASAR KIARACONDONG 02,Jl. Letnan Jendral Ibrahim Adjie,Kebon Jayanti,Kiara Condong,DISKOMINFO,Selasa,18:00,18.13-18.23,"buffering, glitch",Visual Kurang Jelas,140810230019,https://drive.google.com/file/d/1hzJIqEiQ8J4XBIFl8G7O9ZWYmrj9GCaG/view?usp=drivesdk
CCTV DALAM KAUM-PEDESTRIAN 01,Jl. dalem kaum,Balong Gede,Regol,DISKOMINFO,Selasa,18:00,18.25-18.35,"terhalang kabel, kurang melihat kearah jalan raya",Terhalang Objek,140810230019,https://drive.google.com/file/d/11WACX_c5ZUPKpkwDTTxzu2OB-05fnN12/view?usp=drivesdk
CCTV PUSDAI 01,Jl. Pangeran Diponegoro,Cihaurgeulis,Cibeunying Kaler,DISKOMINFO,Selasa,18:00,18.10 - 18.20,cctv Buffering,Tidak Berfungsi,140810230019,CCTV PUSDAI 1.mp4
CCTV TAMANSARI UNISBA 01,Jl. Tamansari No. 1,Tamansari,Bandung Wetan,DISKOMINFO,Selasa,18:00,17.59-18.09,"Buffering,glitch",Visual Kurang Jelas,140810230020,https://drive.google.com/file/d/1EbR_Kwu2dWlNbYHq_0Ybm8HdeX0Z6cPE/view?usp=sharing
CCTV RANCANUMPANG 02,Jl. Rancanumpang,Rancanumpang,Gedebage,DISKOMINFO,Selasa,19:00,19.00-19.10,Buffering,Tidak Berfungsi,140810230020,https://drive.google.com/file/d/14dU2pbU0fp87_aHaYKDcB5LxN49E1Ny2/view?usp=drive_link
CCTV BRAGA 01,Jl. Braga,Braga,Sumur Bandung,DISKOMINFO,Selasa,19:00,19.00-19-10,"buffering, glitch",Visual Kurang Jelas,140810230020,https://drive.google.com/file/d/1z9HlIEOGKcsnQdP9pq3QumjV2o-kyske/view?usp=drive_link
CCTV JL. TURANGGA 02,Jl. Bbk Halteu Cibangkong,Lkr. Sel,Lengkong,DISKOMINFO,Selasa,19:00,19.00-19.10,Kadang buffering,Tidak Berfungsi,140810230020,https://drive.google.com/file/d/1fesHM8myURE0wrii45lNgZJQObaLSwPO/view?usp=drive_link
CCTV CIHAMPELAS-SKYWALK 04,Jl. Cihampelas,Cipaganti,Coblong,DISKOMINFO,Selasa,19:00,19.00.-19.10,Posisi kamera tidak jelas,Visual Kurang Jelas,140810230020,https://drive.google.com/file/d/1fdwAayQQcllU8jZG3954ouXOHV4c-5Dp/view?usp=drive_link
TB JL. A. H. NASUTION CIKADUT,Jl. A. H. Nasution,Antapani Wetan,Antapani,DPU,Selasa,19:00,19.13-19.23,Buffering,Tidak Berfungsi,140810230020,https://drive.google.com/file/d/1ec_w_qJZAm6m5vHU1ptuezmyWWiyPb4m/view?usp=drive_link
TAMAN LANSIA_03,Jl. Cisangkuy,Citarum,Bandung Wetan,DPKP3,Selasa,19:00,19.13-19.23,Buffering bahkan tidak muncul,Tidak Berfungsi,140810230020,https://drive.google.com/file/d/1RSuZBmDvKKxnK8jf6LpQtiWyG14uQW2W/view?usp=drive_link
CCTV PERTIGAAN AH NASUTION-CIJAMBE 01,Jl. A.H. Nasution,Cisantren Bina Harapan,Arcamanik,DISKOMINFO,Selasa,19:00,19.13-19.23,-,Tidak Beranomali,140810230020,https://drive.google.com/file/d/1gZlQT5QVujMx7Gzz3B2re-EfaAXxqcwI/view?usp=drive_link
CCTV JALAN GARUT-KPU PROV 02,Jl. Garut,Kacapiring,Batununggal,DISKOMINFO,Selasa,20:00,20.03-20.13,Kamera ngeblank,Tidak Berfungsi,140810230020,https://drive.google.com/file/d/1fbvRWgrHNu0qfwqd6lgqHUTYGC-KQS-g/view?usp=drive_link
CCTV YANI - LASWI 02,Jl. Laswi,Kacapiring,Batununggal,DISKOMINFO,Selasa,20:00,20.03-20.13,-,Tidak Beranomali,140810230020,https://drive.google.com/file/d/1fcD0gHEuzvfZw-X4zBR4fwZTmUSdMUDs/view?usp=drive_link
CCTV SETIABUDI GERLONG 01,Jl. Dokter Setiabudi,Ledeng,Cidadap,DISKOMINFO,Selasa,20:00,20.00 - 20.10,cctv buffering,Tidak Berfungsi,140810230021,https://drive.google.com/file/d/1TJrJRowTQWrUDFpZ8n8BNdYoPGAqEPmT/view?usp=sharing
CCTV DAGO 4 01,Jl. insinyur haji djuanda kartawidjaya,lebak siliwangi,coblong,DISKOMINFO,Selasa,20:00,20.11 - 20.21,"cctv buffering, sedikit terhalang pohon, terkadang glitch",Visual Kurang Jelas,140810230021,https://drive.google.com/file/d/1ECoebEA2rpGppf-o4iBXiLkLcooot2a5/view?usp=sharing
TB JL. RUMAH SAKIT,Jl. Rumah Sakit,Sukamulya,Cinambo,DPU,Selasa,20:00,20.22 - 20.32,"cctv hitam putih, terhalang kabel, buffering, glitch",Visual Kurang Jelas,140810230021,https://drive.google.com/file/d/1PfopKRuveavNCia5BgqWGjoHn-cvEd4w/view?usp=sharing
TAMAN TONGKENG_01,Jl. Tongkeng,Merdeka,Sumur Bandung,DPKP3,Selasa,20:00,20.33 - 20.43,cctv buffering,Tidak Berfungsi,140810230021,https://drive.google.com/file/d/1FrH7C8iNtr2DMGE4TajSd3MQJbLJ2P3g/view?usp=sharing
CCTV CICABE_01,Jl. Abdul Haris Nasution,Cisarenten Endah,Arcamanik,DISKOMINFO,Selasa,21:00,21.00 - 21.10,"cctv sedikit buram, buffering, glitch",Visual Kurang Jelas,140810230021,https://drive.google.com/file/d/10harz_7Vyelk-J7TEV9K4VY5Jy_Mr9eJ/view?usp=sharing
CCTV JL. RUMAH SAKIT-UJUNG BERUNG 01,Jl. Rumah Sakit,Pakemitan,Cinambo,DISKOMINFO,Selasa,21:00,21.11 - 21.21,"cctv sedikit terhalang banner, buffering",Terhalang Objek,140810230021,https://drive.google.com/file/d/1UGsTWav6F_8RFX4a_9W2TqaXagNR8jb5/view?usp=sharing
TB JL. CIKUTRA BARAT,Jl. Cikutra Barat,Sadang Serang,Coblong,DPU,Selasa,21:00,21.13 - 21.23,"cctv buram, hitam putih, kurang mengarah ke jalan raya",Visual Kurang Jelas,140810230021,https://drive.google.com/file/d/193SSDRTnsfp1y9v_2eIDM0kOva_ttNyj/view?usp=sharing
CCTV SEBRANG PASAR BARU 01,Jl. Otto Iskandardinata,Kebon Jeruk,Andir,DISKOMINFO,Selasa,21:00,21.22 - 21.32,cctv sedikit buffering,Tidak Berfungsi,140810230021,https://drive.google.com/file/d/1imOVRocKkRRfP61mmwzo1dlqVr0GtiXV/view?usp=sharing
CCTV CIHAMPELAS-GANDOK 02,Jl. Cihampelas,Hegarmanah,Cidadap,DISKOMINFO,Selasa,21:00,21.25 - 21.35,cctv buffering,Tidak Berfungsi,140810230021,https://drive.google.com/file/d/1POSmDifJ78tSz3GNh584r_HEwqa2fjnB/view?usp=sharing
CCTV TAMAN SARI - WS 02,Jl. Dayang Sumbi,Lebak Siliwangi,Coblong,DISKOMINFO,Selasa,21:00,21.36 - 21.46,cctv buffering,Tidak Berfungsi,140810230021,https://drive.google.com/file/d/1zMmdSkSYq_qCrFQCRdUoSqPRE_REak_h/view?usp=sharing
CCTV PASTEUR-PASOPATI_02,Jl. Doktor Louis Pasteur,Pasteur,Sukajadi,DISKOMINFO,Selasa,21:00,21.03 - 21.13,-,Tidak Beranomali,140810230022,CCTV PASTEUR-PASOPATI_02.mp4
CCTV JAMIKA_01,Jl. Jamika,Jamika,Bojongloa Kaler,DISKOMINFO,Selasa,21:00,21.15 - 21.25,cctv buffering,Tidak Berfungsi,140810230022,CCTV JAMIKA_01.mp4
CCTV WASTUKENCANA 03,Jl. Wastukencana,Tamansari,Bandung Wetan,DISKOMINFO,Selasa,21:00,21.32 - 21.42,-,Tidak Beranomali,140810230022,CCTV WASTUKENCANA 03.mp4
TAMAN TEGALEGA_02,Jl. Otto Iskandar Dinata,Karanganyar,Astanaanyar,DPKP3,Selasa,22:00,22.01 - 22.11,timestamp tidak sesuai,Salah Timestamp,140810230022,TAMAN TEGALEGA_02.mp4
CCTV CIHAMPELAS-SKYWALK 03,Jl. Cihampelas,Cipaganti,Coblong,DISKOMINFO,Selasa,22:00,22.01 - 22.11,-,Tidak Beranomali,140810230022,CCTV CIHAMPELAS-SKYWALK 03.mp4
CCTV SETIABUDI GERLONG 02,Jl. Dokter Setiabudi,Gegerkalong,Sukasari,DISKOMINFO,Selasa,22:00,22.13 - 22.23,cctv buffering,Tidak Berfungsi,140810230022,CCTV SETIABUDI GERLONG 02.mp4
CCTV JL. RUMAH SAKIT-CINAMBO 02,Jl. Rumah Sakit,Sukamulya,Cinambo,DISKOMINFO,Selasa,22:00,22.13 - 22.23,cctv buffering,Tidak Berfungsi,140810230022,CCTV JL. RUMAH SAKIT-CINAMBO 02.mp4
CCTV PAGARSIH 02,Jl. Pagarsih Barat,Cibadak,Astanaanyar,DISKOMINFO,Selasa,22:00,22.26 - 22.36,cctv tertutup pohon,Terhalang Objek,140810230022,CCTV PAGARSIH 02.mp4
CCTV JL. SURYA SUMANTRI 01,Jl. Surya Sumantri,Sukawarna,Sukajadi,DISKOMINFO,Selasa,22:00,22.36 - 22.46,-,Tidak Beranomali,140810230022,CCTV JL. SURYA SUMANTRI 01.mp4
CCTV PUSDAI 02,Jl. Pusdai,Cihaurgeulis,Cibeunying Kaler,DISKOMINFO,Selasa,22:00,22.47 - 22.57,cctv buffering,Tidak Berfungsi,140810230022,CCTV PUSDAI 02.mp4
TB JL. CIKUTRA,Jl. Cikutra,Neglasari,Cibeunying Kidul,DPU,Selasa,22:00,22.11 - 22.21,resolusi ancur,Visual Kurang Jelas,140810230023,Jalan CIKUTRA.mp4
CCTV KEBON-KOPI-CIMAHI,Jl. Jend. H. Amir Machmud,Cibeureum,Cimahi Selatan,DISKOMINFO,Selasa,22:00,22.40 - 22.50,-,Tidak Beranomali,140810230023,Kebon Kopi.mp4
TB JL DJUNDJUNAN,Jl. Dr Djundjunan,Sukagalih,Sukajadi,DPU,Selasa,22:00,22.26 - 22.36,-,Tidak Beranomali,140810230023,Jalan DR. Djundjunan.mp4
TAMAN TEGALEGA_10,Jl. Otto Iskandar Dinata,Karanganyar,Astanaanyar,DPKP3,Rabu,06:00,06.15 - 06.25,Jamnya salah (berjarak sekitar 4 jam),Salah Timestamp,140810230023,Taman Tegalega 10.mp4
CCTV CIMINDI-JEMBATAN_02,Jl. Jend H. Amir Machmud,Cigugur Tengah,Cimahi Tengah,DISKOMINFO,Rabu,06:00,05.58- 06.10,-,Tidak Beranomali,140810230023,Cimindi Jembatan 02.mp4
CCTV PASTEUR-PASOPATI_01,Jl. Doktor Louis Pasteur,Pasteur,Sukajadi,DISKOMINFO,Rabu,06:00,06.18 - 06.28,,Tidak Beranomali,140810230023,Pasteur-Pasopati 01.mp4
TAMAN TONGKENG_02,Jl. Tongkeng,Merdeka,Sumur Bandung,DPKP3,Rabu,07:00,07.00 - 07.10,Rusak / buffering / hitam,Tidak Berfungsi,140810230023,Taman Tongkeng_02.mp4
CCTV JL SUKAJADI PVJ 02,Jl. Sukajadi,Cipedes,Sukajadi,DISKOMINFO,Rabu,07:00,07.14 - 07.26,Rusak pada bagian setengah akhir perekaman,Tidak Berjalan Normal,140810230023,Sukajadi PVJ Atas.mp4
CCTV CIHAMPELAS-SKYWALK 02,Jl. Cihampelas,Cipaganti,Coblong,DISKOMINFO,Rabu,07:00,07.28 - 07.38,-,Tidak Beranomali,140810230023,Ciampelas_Skywalk.mp4
CCTV PERINTIS KEMERDEKAAN 02,Jl. Perintis Kemerdekaan,Babakan Ciamis,Sumur Bandung,DISKOMINFO,Rabu,07:00,07.40 - 07 .52,-,Tidak Beranomali,140810230023,Perintis Kemerdekaan_02.mp4
TAMAN KARTA_03,Jl. Laksamana Laut Raden Eddy Martadinata,Citarum,Bandung Wetan,DPKP3,Rabu,07:00,06.45 - 06.65,Kamera Menunjukkan lokasi TAMAN KARTA_04,Salah Timestamp,140810230024,TAMAN KARTA_03.mp4
CCTV TEGALEGA_01,Jl. Otto Iskandardinata,Ciateul,Regol,DISKOMINFO,Rabu,07:00,06.56 - 07.06,Lag,Tidak Berjalan Normal,140810230024,CCTV TEGALEGA_01.mp4
CCTV VIADUCT 1 01,Jl. Suniaraja,Braga,Sumur Bandung,DISKOMINFO,Rabu,07:00,07.09 - 07.19,-,Tidak Beranomali,140810230024,CCTV VIADUCT 1 01.mp4
CCTV DIPATIUKUR SEKELOA 01,Jl. Dipati Ukur,Lebakgede,Coblong,DISKOMINFO,Rabu,07:00,07.29 - 07.39,-,Tidak Beranomali,140810230024,CCTV DIPATIUKUR SEKELOA 01.mp4
CCTV SIMPANG KERETA KIARA CONDONG-FLY OVER 01,Jl. Babakan Sari II,Babakan Sari,Kiaracondong,DISKOMINFO,Rabu,07:00,07.40 - 07.50,-,Tidak Beranomali,140810230024,CCTV SIMPANG KERETA KIARA CONDONG-FLY OVER 01.mp4
CCTV CIHAMPELAS-SKYWALK 03,Jl. Cihampelas,Cipaganti,Coblong,DISKOMINFO,Rabu,07:00,07.57 - 08.07,-,Tidak Beranomali,140810230024,CCTV CIHAMPELAS-SKYWALK 03.mp4
CCTV ANTAPANI-DEPAN BORMA 02,Jl. Terusan Jakarta,Cicaheum,Antapani,DISKOMINFO,Rabu,07:00,08.13 - 08.23,-,Tidak Beranomali,140810230024,CCTV ANTAPANI-DEPAN BORMA 02.mp4
CCTV CIKUTRA-TMP 02,Jl. Cikutra Barat,Sukaluyu,Cibeunyi Kaler,DISKOMINFO,Rabu,07:00,07.50 - 08.00,CCTV Buffering,Tidak Berfungsi,140810230024,CCTV CIKUTRA-TMP 02.mp4
CCTV KATAMSO-PAHLAWAN_01,Jl. Pahlawan,Sukaluyu,Cibeunying Kaler,DISKOMINFO,Rabu,07:00,07:50 - 08:00,-,Tidak Beranomali,140810230040,PELINDUNG - PEMANTAUAN LINGKUNGAN KOTA BANDUNG - Katamso.mp4
CCTV DAGO 2-SMA 1 01,Jl. insinyur haji djuanda kartawidjaya,lebak siliwangi,coblong,DISKOMINFO,Rabu,08:00,08:11 - 08:21,-,Tidak Beranomali,140810230040,PELINDUNG - PEMANTAUAN LINGKUNGAN KOTA BANDUNG - Dago.mp4
CCTV CIHAMPELAS-GANDOK 01,Jl. Cihampelas,Hegarmanah,Cidadap,DISKOMINFO,Rabu,08:00,08.23 - 08.33,CCTV Buffering,Tidak Berfungsi,140810230024,CCTV CIHAMPELAS-GANDOK 01.mp4
MPP_1,-,-,-,DISHUB,Rabu,08:00,-,CCTV offline,Offline,140810230024,MPP_1.mp4
CCTV JL DR DJUNJUNAN BTC 02,Jl. Dr. Djunjunan,Pajajaran,Cicendo,DISKOMINFO,Rabu,08:00,08.12 - 08.22,Ada momen CCTV Glitch,Visual Kurang Jelas,140810230025,CCTV JL DR DJUNJUNAN BTC 02 .mp4
CCTV JL. RE. MARTADINATA-PAVILJOEN 02,Jl. L. L. R.E. Martadinata No.68,Citarum,Bandung Wetan,DISKOMINFO,Rabu,08:00,08.12 - 08.22,-,Tidak Beranomali,140810230025,CCTV JL. RE. MARTADINATA-PAVILJOEN 02.mp4
CCTV CICADAS - CIKUTRA 01,Jl. Jenderal Ahmad Yani,Cikutra,Cibeunying Kidul,DISKOMINFO,Rabu,08:00,08.12 - 08.22,Ada momen CCTV Freeze,Tidak Berjalan Normal,140810230025,CCTV CICADAS - CIKUTRA 01.mp4
TAMAN TEGALEGA_11,Jl. Otto Iskandar Dinata,Karanganyar,Astanaanyar,DPKP3,Rabu,08:00,08.12 - 08.22,Ada momen CCTV Freeze,Tidak Berjalan Normal,140810230025,TAMAN TEGALEGA_11.mp4
TAMAN CEMPAKA_02,Jl. Patra Komala,Merdeka,Sumur Bandung,DPKP3,Rabu,09:00,09.00 - 09.10,CCTV offline (buffering tidak dapat diakses),Tidak Berfungsi,140810230025,TAMAN CEMPAKA_02.mp4
TAMAN TEGALEGA_08,Jl. Otto Iskandar Dinata,Karanganyar,Astanaanyar,DPKP3,Rabu,09:00,09.00 - 09.10,CCTV offline (buffering tidak dapat diakses),Tidak Berfungsi,140810230025,TAMAN TEGALEGA_08.mp4
TB JL. TRS. PASIRKOJA,Jl. Terusan Pasirkoja,Nyengseret,Babakan Ciparay,DPU,Rabu,09:00,09.00 - 09.10,Ada momen CCTV Glitch,Visual Kurang Jelas,140810230025,TB JL. TRS. PASIRKOJA.mp4
LOBBY PDAM TIRTAWENING,Jl. Siliwangi no. 1,-,Kuningan,PDAM,Rabu,09:00,09.00 - 09.10,"Tgl dan jam beda, rekaman cuma beberapa detik",Tidak Berjalan Normal,140810230025,LOBBY PDAM TIRTAWENING.mp4
CCTV SUKAJADI SUKAGALIH 02,Jl. Sukajadi,Sukabungah,Sukajadi,DISKOMINFO,Rabu,09:00,09.00 - 09.10,Ada momen CCTV Glitch,Visual Kurang Jelas,140810230025,CCTV SUKAJADI SUKAGALIH 02.mp4
CCTV JL AMBON SAPARUA 01,Jl. Ambon,Citarum,Bandung Wetan,DISKOMINFO,Rabu,09:00,09.00 - 09.10,CCTV agak terhalang pohon,Terhalang Objek,140810230025,CCTV JL AMBON SAPARUA 01.mp4
CCTV JALAN CITARUM-PET PARK 01,Jl. Cilaki,Cihapit,Bandung Wetan,DISKOMINFO,Rabu,09:00,09.12 - 09.22,-,Tidak Beranomali,140810230026,https://drive.google.com/file/d/1CW-qul7nvqoiKdmNDCzJsta-sPo-cbki
CCTV JL ASIA AFRIKA BRI TOWER 03,Jl. Asia Afrika,Banceuy,Sumur Bandung,DISKOMINFO,Rabu,10:00,10.03 - 10.13,-,Tidak Beranomali,140810230026,https://drive.google.com/file/d/1K1OH16So_ByFQO1nT32W94SZUuEyOzMO/view?usp=drivesdk
CCTV TAMBLONG,Jl. Sumatra,-,Sumur Bandung,DISKOMINFO,Rabu,10:00,10.03 - 10.13,-,Tidak Beranomali,140810230026,https://drive.google.com/file/d/1By5TGWQm_EVJIgjXXxx57GpkqEZ0r87W/view?usp=drivesdk
CCTV CICADAS - CIKUTRA 01,Jl. Jenderal Ahmad Yani,Cikutra,Cibeunying Kidul,DISKOMINFO,Rabu,10:00,10.27 - 10.37,-,Tidak Beranomali,140810230026,https://drive.google.com/file/d/19N5chcW6DS5T0yjZchQLj-RoHM2qEsfQ/view?usp=drivesdk
TAMAN TEGALEGA_12,Jl. Otto Iskandar Dinata,Karanganyar,Astanaanyar,DPKP3,Rabu,10:00,10.50 - 11.00,Tanggal tidak sesuai,Salah Timestamp,140810230026,https://drive.google.com/file/d/1mLdwLXNZaHKkkoQPbFmY9R_jBb2l8WuG/view?usp=sharing
CCTV JL CIGADUNG 01,Jl. Cigadung Raya Barat,Cigadung,Cibeunying Kaler,DISKOMINFO,Rabu,11:00,11.11 - 11.21,CCTV offline,Offline,140810230026,https://drive.google.com/file/d/1OHZpSlQXJgW7PUpkm95NVfYcDevckTWr/view?usp=drivesdk
CCTV JL. RE. MARTADINATA-PAVILJOEN 02,Jl. L. L. R.E. Martadinata No.68,Citarum,Bandung Wetan,DISKOMINFO,Rabu,11:00,11.50 - 12.00,CCTV offline,Offline,140810230026,https://drive.google.com/file/d/1-wiurvh1vHkaRE1ib08chMN0s8Sf1lEK/view?usp=sharing
CCTV JL. ANGGREK 01,Jl. Anggrek Raya No. 1,Rancaekek Wetan,Rancaekek,DISKOMINFO,Rabu,11:00,11.27 - 11.37,-,Tidak Beranomali,140810230026,https://drive.google.com/file/d/1X3ExKMm9GU6NhoToRUUndff97huuvjgE/view?usp=drivesdk
CCTV PEREMPATAN KIRCON BINONG 01,Jl. Letnan Jendral Ibrahim Adjie,Binong,Batununggal,DISKOMINFO,Rabu,11:00,11.40 - 11.50,-,Tidak Beranomali,140810230026,https://drive.google.com/file/d/1Ai9yPY8z8CV_ANTVn7W4F2DYRye7lu4V/view?usp=sharing
CCTV CIHAMPELAS-SKYWALK 02,Jl. Cihampelas,Cipaganti,Coblong,DISKOMINFO,Rabu,12:00,12.00 - 12.10,-,Tidak Beranomali,140810230026,https://drive.google.com/file/d/1d3PmTegBsCzifEn0yqVefMa951GTdXUk/view?usp=sharing
CCTV CIPAGANTI-NYLAND 02,Jl. dokter hatta,tamansari,bandung weten,DISKOMINFO,Rabu,12:00,12.01 - 12.11,-,Tidak Beranomali,140810230027,https://drive.google.com/file/d/1qDSPWoUAh1w2ubDNxghIz68pFhCm7WxZ/view?usp=sharing
CCTV KOPO BIZPARK / DPN BRI KOPO 02,Jl. Raya Kopo,Cirangrang,Babakan Ciparay,DISKOMINFO,Rabu,12:00,12.12 - 12.22,,Tidak Beranomali,140810230027,https://drive.google.com/file/d/1wVjaq9EBTD6o6s2c1k4fbErZu2DHlIyJ/view?usp=sharing
TB JL DJUNDJUNAN,Jl. Dr Djundjunan,Sukagalih,Sukajadi,DPU,Rabu,12:00,12.32 - 12.42,Rekaman CCTV hanya 2 menit,Tidak Berjalan Normal,140810230027,https://drive.google.com/file/d/1VuYpHgJEJt_TruC3g9bBd2kVfJV3icEt/view?usp=sharing
CCTV JL KOPO SEBRANG MIKO MALL 01,Jl. Kopo Sayati,Cirangrang,Babakan Ciparay,DISKOMINFO,Rabu,12:00,12.15 - 12.25,Ada momen CCTV Glitch,Visual Kurang Jelas,140810230027,https://drive.google.com/file/d/10P13SCpILwYbbqviiW_flxu0YDF5Asrl/view?usp=sharing
TAMAN TEGALEGA_13,Jl. Otto Iskandar Dinata,Karanganyar,Astanaanyar,DPKP3,Rabu,12:00,12.30 - 12.40,CCTV LOADING,Tidak Berfungsi,140810230027,https://drive.google.com/file/d/10PicLzji8a950NGIwm60s3mBrx53JjpY/view?usp=sharing
