Nama CCTV,Jalan,Kelurahan,Kecamatan,Dinas,Hari,Jam,Jam Obervasi,Anomali,Anomali Kategori,KodeSurveyor,File Video CCTV
CCTV CIHAMPELAS -SKYWALK 05,CCTV ILANG,,,DISKOMINFO,Senin,07:00,07.27-07.37,CCTV OFFLINE,Offline,140810230002,https://drive.google.com/file/d/1cx-Mk_CIEQmwS2Ngql57RxhIGNphEY09/view?usp=drive_link
PARKIR ACEH PRAMUKA RIAU,Jl. Brantas,Cihapit,Bandung Wetan,DISHUB,Senin,07:00,07.40-07.50,CCTV Buffering,Tidak Berfungsi,140810230002,https://drive.google.com/file/d/1tTbN5yylMTwupzV43hrMvKQwsOghzXM1/view?usp=drive_link
CCTV JL. RUMAH SAKIT-CINAMBO 01,Jl. Rumah Sakit,Sukamulya,Cinambo,DISKOMINFO,Senin,08:00,08.00-08.10,CCTV Terhalang Kabel,Terhalang Objek,140810230002,https://drive.google.com/file/d/1nu081rROwt_PtDk_WmT4Ks8uY8MQ7QJE/view?usp=drive_link
CCTV DIPATI UKUR-UNIKOM 02,Jl. Dipati Ukur,Lebakgede,Coblong,DISKOMINFO,Senin,08:00,08.14-08.24,CCTV Glitch,Visual Kurang Jelas,140810230002,https://drive.google.com/file/d/1s_-BISNkchVNIgELtqv4zbPCsG1k54JD/view?usp=drivesdk
CCTV JL. SUTAMI 02,Jl. Sarimanah 2,Sarijadi,Sukasari,DISKOMINFO,Senin,08:00,08.25-08.35,"1. CCTV Glitch
2. Buffering di Akhir",Visual Kurang Jelas,140810230002,https://drive.google.com/file/d/1KoaGYNfsNNcpuzNtsTINS4Dy5Qo6pBJl/view?usp=drivesdk
CCTV CIKUTRA-TMP 01,Jl. Cikutra Barat,Sukaluyu,Cibeunying Kaler,DISKOMINFO,Senin,08:00,08.37-08.47,"terhalang tiang listrik sedikit, glitch 1 kamera selama 2 detik, buffering 3 menit dan sering buffering",Visual Kurang Jelas,140810230002,https://drive.google.com/file/d/1Wi6NfRgx1KxRPKDke5ZuutRVLWwtBcZ2/view?usp=drive_link
CCTV DAGO 1-CIKAPAYANG 01,Jl. insinyur haji djuanda kartawidjaya,lebak siliwangi,coblong,DISKOMINFO,Senin,08:00,08.48-08.58,terhalang pohon bagian kiri cctv,Terhalang Objek,140810230002,https://drive.google.com/file/d/1K_-UjWQukHcMz2aa4R1ZWiEFR0Vc1iOv/view?usp=drive_link
CCTV TERUSAN BUAH BATU-JEMBATAN TOL 02,Jl. Buah Batu,Kujangsari,Bandung Kidul,DISKOMINFO,Senin,09:00,09.01-09.11,glitch 1 kamera selama beberapa detik,Visual Kurang Jelas,140810230002,https://drive.google.com/file/d/1NW6-YABd7R4NWPKzPxtALZ0Y9ov2PIHc/view?usp=drive_link
TAMAN TEGALEGA_10,Jl. Otto Iskandar Dinata,Karanganyar,Astanaanyar,DPKP3,Senin,09:00,09:47-09-57,cctv glitch dan tanggal serta jam tidak sesuai,Visual Kurang Jelas,140810230004,TAMAN TEGALEGA_10 2024-05-06 09-48-47.mp4
CCTV BRAGA 02,Jl. Braga,Braga,Sumur Bandung,DISKOMINFO,Senin,09:00,09: 45 - 09:55,-,Tidak Beranomali,140810230004,CCTV BRAGA 02.mp4
CCTV SIMPANG KERETA KIARA CONDONG-FLY OVER 01,Jl. Babakan Sari II,Babakan Sari,Kiaracondong,DISKOMINFO,Senin,10:00,10:11 - 10:21,kamera ngeglitch dan terhalang kabel,Visual Kurang Jelas,140810230004,CCTV SIMPANG KERETA KIARA CONDONG-FLY OVER 01 2024-05-06 10-10-13.mp4
CCTV BRAGA 01,Jl. Braga,Braga,Sumur Bandung,DISKOMINFO,Senin,10:00,10:00 - 10:10,-,Tidak Beranomali,140810230004,CCTV BRAGA 01.mp4
CCTV DIPATI UKUR-UNIKOM 02,Jl. Dipati Ukur,Lebakgede,Coblong,DISKOMINFO,Senin,10:00,10:12 - 10:22,-,Tidak Beranomali,140810230004,CCTV DIPATI UKUR-UNIKOM 02.mp4
CCTV JL. SURYA SUMANTRI 01,Jl. Surya Sumantri,Sukawarna,Sukajadi,DISKOMINFO,Senin,10:00,10:20 - 10:30,Kamera hanya berfungsi 2/3 dan kadang suka ngeglitch,Visual Kurang Jelas,140810230004,CCTV JL. SURYA SUMANTRI 01 2024-05-06 10-21-23.mp4
CCTV PERINTIS KEMERDEKAAN 02,Jl. Perintis Kemerdekaan,Babakan Ciamis,Sumur Bandung,DISKOMINFO,Senin,10:00,10:31 - 10:41,cctv suka loading,Tidak Berfungsi,140810230004,CCTV PERINTIS KEMERDEKAAN 02.mp4
CCTV PASAR KOSAMBI 01,Jl. Jendral Ahmad Yani,Malabar,Lengkong,DISKOMINFO,Senin,10:00,10:32 - 10:42,-,Tidak Beranomali,140810230004,CCTV PASAR KOSAMBI 01 2024-05-06 10-33-01.mp4
TAMAN TEGALEGA_08,Jl. Otto Iskandar Dinata,Karanganyar,Astanaanyar,DPKP3,Senin,10:00,10:40 - 10:50,tanggal dan jam tidak sesuai,Salah Timestamp,140810230004,TAMAN TEGALEGA_08.mp4
CCTV KIRCON_01,Jl. Letnan Jendral Ibrahim Adjie,Babakan Sari,Kiaracondong,DISKOMINFO,Senin,10:00,10:45 - 10:55,"cctv lambat, loading terus, 1/3 tidak berfungsi, ngeglitch lalu freeze selama 2 menit",Visual Kurang Jelas,140810230004,CCTV KIRCON_01 2024-05-06 10-45-16.mp4
CCTV CIJERAH PAL TILU 02,Jl. Jend Sudirman,Cijerah,Bandung Kulon,DISKOMINFO,Senin,11:00,11.00 - 11.10,-,Tidak Beranomali,140810230003,https://drive.google.com/file/d/1w-FEFWXGR8EyVjRDQlkPh0oSiaJYs8ey/view?usp=drivesdk
CCTV CICENDO - KB KAWUNG 02,Jl. Cicendo,Babakan Ciamis,Sumur Bandung,DISKOMINFO,Senin,11:00,11.11 - 11.21,-,Tidak Beranomali,140810230003,https://drive.google.com/file/d/12bpZhy1YCgJvpgDzuzK-dzvnIY4de0H4/view?usp=drivesdk
CCTV KEBON-KOPI-CIMAHI,Jl. Jend. H. Amir Machmud,Cibeureum,Cimahi Selatan,DISKOMINFO,Senin,11:00,11.22 - 11.32,cctv buffering dan glitch,Visual Kurang Jelas,140810230003,https://drive.google.com/file/d/1X3sgkCEL2EfETZWKKZkXpl0gnTmwZEUY/view?usp=drivesdk
CCTV CIKUTRA-TMP 01,Jl. Cikutra Barat,Sukaluyu,Cibeunying Kaler,DISKOMINFO,Senin,11:00,11.22 - 11.32,terhalang kabel,Terhalang Objek,140810230003,https://drive.google.com/file/d/1XotR6sU1-guCBJS7PkK_G-CZPxlMMHSr/view?usp=drivesdk
CCTV PASAR KOSAMBI 01,Jl. Jendral Ahmad Yani,Malabar,Lengkong,DISKOMINFO,Senin,11:00,11.38 - 11.48,-,Tidak Beranomali,140810230003,https://drive.google.com/file/d/1TNZR7xCd1kvYBYCmiIPWH1boirSLNfOf/view?usp=drivesdk
CCTV DAGO 3-BORROMEUS 02,Jl. surya kencana,lebak gede,coblong,DISKOMINFO,Senin,11:00,11.38 - 11.48,cctv mati,Tidak Berfungsi,140810230003,https://drive.google.com/file/d/1lZveYduxYlKEaPzAXLVZ3YLxNKcqdWMy/view?usp=drivesdk
CCTV JALAN CITARUM-PET PARK 01,Jl. Cilaki,Cihapit,Bandung Wetan,DISKOMINFO,Senin,12:00,12.03 - 12.16,-,Tidak Beranomali,140810230003,https://drive.google.com/file/d/1HKDALWWYRCp1Kt4eFMlvrhcmZcMCVG51/view?usp=drivesdk
CCTV PASTEUR-PASOPATI_02,Jl. Doktor Louis Pasteur,Pasteur,Sukajadi,DISKOMINFO,Senin,12:00,12.05 - 12.17,-,Tidak Beranomali,140810230003,https://drive.google.com/file/d/1LjF-emzpuIL3Z20894ikeIT3v1Gsv6Wh/view?usp=drivesdk
CCTV BORMA CIKUTRA 01,Jl. Cikutra Barat,Cigadung,Cibeunying Kaler,DISKOMINFO,Senin,12:00,12.20 - 12.30,terhalang kabel,Terhalang Objek,140810230003,https://drive.google.com/file/d/1R6e_PNficU1-3UsIh5oZKCgOwMMaH4Dq/view?usp=drivesdk
CCTV JL. ARCAMANIK 02,Jl. Arcamanik No. 2,Pasir Impun,Mandalajati,DISKOMINFO,Senin,12:00,12.18 - 12.30,-,Tidak Beranomali,140810230003,https://drive.google.com/file/d/1e5lDfFvm_ARUllVK95cTPaEm1KYGYDGP/view?usp=drivesdk
CCTV JL PURNAWARMAN BEC 02,Jl. Punawarman,Babakan Ciamis,Sumur Bandung,DISKOMINFO,Senin,12:00,12.00 - 12.10,cctv buffering,Tidak Berfungsi,140810230005,https://drive.google.com/file/d/1nV_uYspWPjYXiDTWPFHaqP_E-M9uDYv4/view?usp=drivesdk
CCTV JL. SURYA SUMANTRI 01,Jl. Surya Sumantri,Sukawarna,Sukajadi,DISKOMINFO,Senin,12:00,12.00 - 12.10,sudut cctv terhalang pohon sedikit,Terhalang Objek,140810230005,https://drive.google.com/file/d/1JVM-BdjroTqeazmeQFYrceKL4SrhSM14/view?usp=drivesdk
CCTV CIHAMPELAS-GANDOK 01,Jl. Cihampelas,Hegarmanah,Cidadap,DISKOMINFO,Senin,12:00,12.13 - 12.23,cctv terhalang kabel listrik,Terhalang Objek,140810230005,https://drive.google.com/file/d/1u5ZE75F6Tyh69RoocC5a7HD6TmINQ3u9/view?usp=drivesdk
CCTV PHH MUSTOFA POM-BENSIN PARK HOTEL 02,Jl. Penghulu Haji Hasan Mustopa,Neglasari,Cibeunying Kaler,DISKOMINFO,Senin,12:00,12.13 - 12.23,-,Tidak Beranomali,140810230005,https://drive.google.com/file/d/1zGYq7VadpPZETJSDPc97ntGpgI47zx7q/view?usp=drivesdk
CCTV TALAGA BODAS KADIN 01,Jl. Talaga Bodas,Malabar,Lengkong,DISKOMINFO,Senin,12:00,12.25 - 12.35,-,Tidak Beranomali,140810230005,https://drive.google.com/file/d/196aqGVHjzAljZHjeZapw8zGfx5oWmwfn/view?usp=drivesdk
CCTV WASTUKENCANA 03,Jl. Wastukencana,Tamansari,Bandung Wetan,DISKOMINFO,Senin,13:00,13.01 - 13.11,tanggal dan jam tidak sesuai (bulan depan),Salah Timestamp,140810230005,https://drive.google.com/file/d/1M4MfCZgxbTfrlO1MbASnhp6Qb5-Z_Gb9/view?usp=drivesdk
CCTV DAGO 1-CIKAPAYANG 01,Jl. insinyur haji djuanda kartawidjaya,lebak siliwangi,coblong,DISKOMINFO,Senin,13:00,13.01 - 13.11,"sudut cctv terhalang pohon, sempat ngelag di awall",Terhalang Objek,140810230005,https://drive.google.com/file/d/1QEbbnGnyS0Zvx605xPpmxtaNjPkn-haN/view?usp=drivesdk
TB JL. GD BAGE SELATAN - JL DERWATI,Jl. Gedebage Selatan,Rancabolang,Gedebage,DPU,Senin,13:00,13.13 - 13.23,cctv terhalang kabel listrik sedikit,Terhalang Objek,140810230005,https://drive.google.com/file/d/1Lu0RIbQ5KRdP-5J9GEFhAq5fwmSh6lDH/view?usp=drivesdk
TAMAN RADIO_03,Jl. Ir. H. Juanda,Tamansari,Bandung Wetan,DPKP3,Senin,13:00,13.13 - 13.23,cctv buffering,Tidak Berfungsi,140810230005,https://drive.google.com/file/d/1jnlKexmZUZ7snx9bu16_OZJuaqtCM7EG/view?usp=drivesdk
CCTV BRAGA 02,Jl. Braga,Braga,Sumur Bandung,DISKOMINFO,Senin,13:00,13.25 - 13.35,-,Tidak Beranomali,140810230005,https://drive.google.com/file/d/19oVVJf3cm6SWMue6PMb-BEgRjuvaD0V7/view?usp=drivesdk
CCTV SOETA-KIRCON 04,Jl. Soekarno-Hatta,Cijaura,Buahbatu,DISKOMINFO,Senin,13:00,13.44-13.54,cctv buffering,Tidak Berfungsi,140810230001,https://drive.google.com/file/d/1fx2-oltwZ_WDIYt-IerFmrVGGjshKQ4j/view?usp=sharing
CCTV LAPANG GASIBU 01,Jl. Diponegoro,Citarum,Bandung Wetan,DISKOMINFO,Senin,14:00,14.01-14.11,cctv error setengah video,Tidak Berfungsi,140810230001,https://drive.google.com/file/d/11SPqAZSJxK2u3XSxhT0r1oeAdPf4sFuq/view?usp=sharing
CCTV DIPATI UKUR-UNIKOM 01,Jl. Dipati Ukur,Lebakgede,Coblong,DISKOMINFO,Senin,14:00,14.13-14.23,cctv buffering,Tidak Berfungsi,140810230001,https://drive.google.com/file/d/1HvKjlRwnnBXDDtC3J80gOoK5SD657ynB/view?usp=sharing
CCTV TEGALEGA_02,Jl. Otto Iskandardinata,Ciateul,Regol,DISKOMINFO,Senin,14:00,14.31-14.41,cctv error,Tidak Berfungsi,140810230001,https://drive.google.com/file/d/1I_qklzj5HDxCj9amKc58JznSWA0MtGhs/view?usp=sharing
CCTV KOPO BIZPARK / DPN BRI KOPO 01,Jl. Raya Kopo,Cirangrang,Babakan Ciparay,DISKOMINFO,Senin,15:00,15.16-15.26,-,Tidak Beranomali,140810230001,https://drive.google.com/file/d/1GzwISmpaTlDClKbtkRQJOt0mTB1zrnwX/view?usp=sharing
CCTV CIHAMPELAS-GANDOK 02,Jl. Cihampelas,Hegarmanah,Cidadap,DISKOMINFO,Senin,15:00,15.16-15.26,ketutupan kabel,Terhalang Objek,140810230001,https://drive.google.com/file/d/1d4P2aCZorgPrrH9syWy8e0zD7zZuEJyj/view?usp=sharing
CCTV JL. TURANGGA 01,Jl. Turangga,Lkr. Sel,Lengkong,DISKOMINFO,Senin,15:00,15.16-15.26,-,Tidak Beranomali,140810230001,https://drive.google.com/file/d/1z9vFSWDuOBc8EnMFr_7uKQOA9z8MsA7I/view?usp=sharing
CCTV DALAM KAUM-PEDESTRIAN 02,Jl. dalem kaum,Balong Gede,Regol,DISKOMINFO,Senin,15:00,15.16-15.26,-,Tidak Beranomali,140810230001,https://drive.google.com/file/d/1oIDfQjWlKCeC9padrJzG_jD1B8YoeAvw/view?usp=sharing
TAMAN FILM_02,Jl. Layang Pasupati,Tamansari,Bandung Wetan,DPKP3,Senin,15:00,15.35-15.45,-,Tidak Beranomali,140810230001,https://drive.google.com/file/d/1wwdemv6BnFAH7YiDtmpkyG_JxXd16rbQ/view?usp=sharing
CCTV JL. SURYA SUMANTRI 02,Jl. Dangdeur Indah III,Sukagalih,Sukajadi,DISKOMINFO,Senin,15:00,15.35-15.45,-,Tidak Beranomali,140810230001,https://drive.google.com/file/d/1QP0SUqDHAsMhv3oy282ZI4xfXWPgGJRu/view?usp=sharing
TAMAN ANGGREK_02,Jl. Anggrek,Cihapit,Bandung Wetan,DPKP3,Senin,15:00,15:30-15:40,cctv buffering,Tidak Berfungsi,140810230007,CCTV - 230007
CCTV JL. ANTAPANI-TERMINAL ANTAPANI 01,Jl Antapani,Antapani Tengah,Antapani,DISKOMINFO,Senin,15:00,15:18-15:28,-,Tidak Beranomali,140810230007,CCTV - 230007
CCTV JL WAAS BATUNUNGGAL 01,Jl. WAAS NO 1,Batununggal,Bandung kidul,DISKOMINFO,Senin,15:00,15:18-15:28,cctv buram,Visual Kurang Jelas,140810230007,CCTV - 230007
CCTV PASAR KIARACONDONG 01,Jl. Letnan Jendral Ibrahim Adjie,Kebon Jayanti,Kiara Condong,DISKOMINFO,Senin,16:00,16:07-16:17,-,Tidak Beranomali,140810230007,CCTV - 230007
TAMAN TONGKENG_01,Jl. Tongkeng,Merdeka,Sumur Bandung,DPKP3,Senin,16:00,16:07-16:17,cctv buffering,Tidak Berfungsi,140810230007,CCTV - 230007
TAMAN LANSIA,Jl. Cisangkuy,Citarum,Bandung Wetan,DPKP3,Senin,16:00,16:23-16:33,-,Tidak Beranomali,140810230007,CCTV - 230007
CCTV KATAMSO 02,Jl. Yudawastu Pramuka 2,Cicadas,Cibeunying Kaler,DISKOMINFO,Senin,16:00,16:23-16:33,-,Tidak Beranomali,140810230007,CCTV - 230007
